ts,open,high,low,close,volume,trades
2026-05-01 00:00:00+00:00,190.0,314.14,178.57,259.54,14306.84,9530
2026-05-02 00:00:00+00:00,256.54,317.4,252.59,313.99,10640.61,10996
2026-05-03 00:00:00+00:00,312.0,320.0,275.0,283.42,8425.02,11893
2026-05-04 00:00:00+00:00,283.42,305.0,200.0,207.97,26776.87,13480
2026-05-05 00:00:00+00:00,208.59,282.86,202.6,229.69,13496.82,9469
2026-05-06 00:00:00+00:00,229.69,270.0,224.47,253.7,6067.82,5361
2026-05-07 00:00:00+00:00,257.5,270.07,227.0,246.0,2603.57,1554
2026-05-08 00:00:00+00:00,245.01,291.31,236.81,285.0,8288.64,5695
2026-05-09 00:00:00+00:00,285.0,297.97,273.0,288.99,5257.7,3343
2026-05-10 00:00:00+00:00,287.03,314.93,274.86,296.65,13101.51,12328
2026-05-11 00:00:00+00:00,300.99,316.9,269.49,299.49,22771.0,20162
2026-05-12 00:00:00+00:00,298.01,309.76,276.0,294.64,10952.13,14337
2026-05-13 00:00:00+00:00,294.69,323.18,281.71,289.0,32106.35,29189
2026-05-14 00:00:00+00:00,289.68,392.42,278.85,329.4,834135.48,227753
2026-05-15 00:00:00+00:00,329.77,338.0,275.43,278.77,286453.29,84292
2026-05-16 00:00:00+00:00,279.26,282.11,265.86,272.49,35249.05,29956
2026-05-17 00:00:00+00:00,272.51,286.38,262.0,265.93,39665.34,24481
2026-05-18 00:00:00+00:00,265.18,305.43,260.0,302.65,185749.39,70277
2026-05-19 00:00:00+00:00,302.65,333.38,286.0,306.99,181623.07,43017
2026-05-20 00:00:00+00:00,307.05,337.0,284.44,288.62,129121.05,36334
2026-05-21 00:00:00+00:00,288.89,296.65,275.74,282.83,81685.01,19688
2026-05-22 00:00:00+00:00,283.25,288.87,250.18,252.55,172295.14,30094
2026-05-23 00:00:00+00:00,252.4,262.57,245.0,259.66,23181.09,12115
2026-05-24 00:00:00+00:00,259.89,264.95,255.0,262.97,13952.21,10466
2026-05-25 00:00:00+00:00,262.94,269.75,258.57,263.73,6463.12,6959
2026-05-26 00:00:00+00:00,263.55,263.57,236.24,241.09,135099.32,22496
2026-05-27 00:00:00+00:00,241.09,270.56,236.32,263.01,138590.71,27688
2026-05-28 00:00:00+00:00,263.24,268.66,241.4,245.48,107357.45,23055
2026-05-29 00:00:00+00:00,245.38,250.0,232.55,236.65,70192.04,16193
2026-05-30 00:00:00+00:00,236.67,238.69,233.15,238.12,4666.76,3304
2026-05-31 00:00:00+00:00,237.88,242.5,237.6,242.5,2944.09,3656
2026-06-01 00:00:00+00:00,242.3,242.75,212.1,214.09,52675.17,11886
2026-06-02 00:00:00+00:00,214.05,241.25,209.33,235.06,88864.93,19289
2026-06-03 00:00:00+00:00,235.4,240.32,210.72,211.01,45281.28,12873
2026-06-04 00:00:00+00:00,210.8,219.12,205.27,212.35,40150.14,9650
2026-06-05 00:00:00+00:00,212.21,222.35,196.6,199.79,39379.02,11079
2026-06-06 00:00:00+00:00,199.73,200.79,182.51,197.7,28696.19,12843
2026-06-07 00:00:00+00:00,197.7,207.68,194.47,198.99,9026.38,4777
2026-06-08 00:00:00+00:00,198.98,249.35,198.66,240.07,82157.42,16906
2026-06-09 00:00:00+00:00,239.86,248.47,214.83,223.89,72144.75,19287
2026-06-10 00:00:00+00:00,224.19,253.64,217.17,231.56,115625.06,22750
2026-06-11 00:00:00+00:00,231.33,248.11,220.58,229.06,53608.55,12139
2026-06-12 00:00:00+00:00,229.26,231.11,208.16,215.91,69572.72,15877
2026-06-13 00:00:00+00:00,216.09,218.16,214.13,217.94,3724.94,1524
2026-06-14 00:00:00+00:00,217.93,219.55,214.25,218.7,4480.46,2613
2026-06-15 00:00:00+00:00,218.5,225.66,211.63,217.75,48611.9,11211
2026-06-16 00:00:00+00:00,217.95,221.42,202.24,211.4,40100.28,7710
2026-06-17 00:00:00+00:00,211.46,230.42,209.92,218.32,30726.13,11724
2026-06-18 00:00:00+00:00,218.46,244.88,214.61,236.08,73328.28,13612
2026-06-19 00:00:00+00:00,236.21,238.02,230.94,234.17,7650.15,5891
2026-06-20 00:00:00+00:00,234.19,234.61,229.71,232.08,2422.24,1908
2026-06-21 00:00:00+00:00,232.09,239.99,230.0,230.4,10352.99,4431
2026-06-22 00:00:00+00:00,230.78,241.24,223.89,225.05,87443.22,14163
2026-06-23 00:00:00+00:00,224.91,236.47,199.33,200.8,247093.02,35145
2026-06-24 00:00:00+00:00,201.09,210.92,181.44,187.86,168547.38,39332
2026-06-25 00:00:00+00:00,187.83,192.83,161.49,168.95,138070.29,32607
2026-06-26 00:00:00+00:00,168.93,183.81,160.76,181.43,109974.66,24507
2026-06-27 00:00:00+00:00,181.39,199.63,179.82,194.92,81881.8,26029
2026-06-28 00:00:00+00:00,194.81,196.37,189.9,192.45,19050.14,6194
2026-06-29 00:00:00+00:00,192.31,220.32,182.34,214.74,127131.75,22682
2026-06-30 00:00:00+00:00,214.54,223.74,201.9,218.45,78307.16,22587
2026-07-01 00:00:00+00:00,218.45,228.27,207.34,215.56,76554.86,28640
2026-07-02 00:00:00+00:00,215.62,224.21,203.66,204.15,63287.37,19961
2026-07-03 00:00:00+00:00,204.59,205.26,199.74,201.13,13954.81,6454
2026-07-04 00:00:00+00:00,201.02,203.98,200.35,203.79,4763.96,2920
2026-07-05 00:00:00+00:00,203.81,205.41,202.13,203.1,5746.81,2165
2026-07-06 00:00:00+00:00,203.28,210.65,190.67,191.3,58310.44,14863
2026-07-07 00:00:00+00:00,191.27,191.95,173.29,175.69,68118.0,17565
2026-07-08 00:00:00+00:00,175.68,188.4,169.07,184.58,70891.66,14964
2026-07-09 00:00:00+00:00,184.53,204.52,181.69,199.99,152982.01,16503
2026-07-10 00:00:00+00:00,199.52,216.07,191.47,214.75,87830.19,11189
2026-07-11 00:00:00+00:00,214.66,217.39,209.8,210.86,5899.44,3025
2026-07-12 00:00:00+00:00,210.81,214.28,209.46,210.72,3894.1,3273
2026-07-13 00:00:00+00:00,210.71,215.5,199.86,201.5,141213.57,18833
2026-07-14 00:00:00+00:00,201.6,210.59,187.65,203.6,69815.91,10383
2026-07-15 00:00:00+00:00,203.77,208.15,182.08,184.36,86925.17,11193
2026-07-16 00:00:00+00:00,184.36,185.82,174.68,178.14,81397.33,13733
2026-07-17 00:00:00+00:00,178.23,180.54,162.36,171.66,70417.84,13085
2026-07-18 00:00:00+00:00,171.58,172.41,167.95,168.36,1459.85,773
2026-07-19 00:00:00+00:00,168.4,173.0,168.18,170.9,4817.7,1992
2026-07-20 00:00:00+00:00,170.76,181.67,164.5,176.93,65459.56,12226
2026-07-21 00:00:00+00:00,176.62,210.76,173.64,207.46,53121.02,15485
2026-07-22 00:00:00+00:00,207.39,243.11,198.5,210.71,135434.42,27597
2026-07-23 00:00:00+00:00,210.85,235.64,201.42,218.52,149499.23,26951
2026-07-24 00:00:00+00:00,218.61,221.62,192.73,197.92,91098.74,14557
2026-07-25 00:00:00+00:00,197.9,202.7,195.89,200.07,2834.59,3112
2026-07-26 00:00:00+00:00,200.07,203.9,197.2,203.78,2915.04,2027
2026-07-27 00:00:00+00:00,203.33,205.66,181.72,187.53,82992.78,17818
2026-07-28 00:00:00+00:00,187.48,192.86,173.67,191.79,98908.25,24634
2026-07-29 00:00:00+00:00,191.67,194.77,167.82,173.05,173539.08,28893
2026-07-30 00:00:00+00:00,173.03,209.52,169.22,207.07,108467.42,23630
2026-07-31 00:00:00+00:00,206.84,213.68,195.83,196.53,63350.2,16223
2026-08-01 00:00:00+00:00,196.6,198.21,192.63,194.6,5620.57,5774
2026-08-02 00:00:00+00:00,194.61,199.6,193.26,197.3,15713.94,10152
2026-08-03 00:00:00+00:00,196.98,222.18,184.75,220.72,103044.63,24256
2026-08-04 00:00:00+00:00,220.79,231.26,213.92,223.73,78689.24,23630
2026-08-05 00:00:00+00:00,223.66,226.69,212.44,213.4,56483.1,30018
2026-08-06 00:00:00+00:00,213.68,218.88,204.75,212.17,56549.89,21003
2026-08-07 00:00:00+00:00,212.33,228.82,203.94,228.51,76315.58,22292
2026-08-08 00:00:00+00:00,228.54,229.75,226.34,227.87,3907.47,3770
2026-08-09 00:00:00+00:00,227.7,228.08,225.01,226.28,3446.57,3459
2026-08-10 00:00:00+00:00,225.95,234.11,224.28,230.02,34633.13,15420
2026-08-11 00:00:00+00:00,230.21,236.46,220.56,235.66,34852.4,16207
2026-08-12 00:00:00+00:00,235.3,265.28,214.62,218.33,233090.2,57282
2026-08-13 00:00:00+00:00,218.25,239.2,211.28,231.78,164367.8,50719
2026-08-14 00:00:00+00:00,231.79,233.07,215.97,219.06,65478.85,26238
2026-08-15 00:00:00+00:00,219.0,221.33,218.35,221.25,2305.46,2578
2026-08-16 00:00:00+00:00,221.39,223.77,220.59,223.43,2296.54,2322
2026-08-17 00:00:00+00:00,223.43,260.35,220.97,252.5,80708.09,35426
2026-08-18 00:00:00+00:00,252.58,253.16,214.92,216.94,237188.01,39614
2026-08-19 00:00:00+00:00,217.0,223.67,201.32,218.3,290297.72,44156
2026-08-20 00:00:00+00:00,218.26,219.12,202.96,208.77,97588.89,22307
2026-08-21 00:00:00+00:00,208.78,213.07,195.55,197.0,114649.82,19188
2026-08-22 00:00:00+00:00,196.95,197.37,183.44,193.89,21575.84,10475
2026-08-23 00:00:00+00:00,193.96,196.98,192.64,196.22,6785.72,4364
