ts,open,high,low,close,volume,trades
2026-05-01 01:00:00+00:00,190.0,190.0,190.0,190.0,1.16,2
2026-05-01 02:00:00+00:00,180.0,190.0,178.57,190.0,1.32,3
2026-05-01 03:00:00+00:00,178.57,178.57,178.57,178.57,0.16,1
2026-05-01 04:00:00+00:00,190.0,190.0,190.0,190.0,2.23,1
2026-05-01 05:00:00+00:00,190.0,195.0,190.0,195.0,5.26,3
2026-05-01 06:00:00+00:00,195.0,195.0,195.0,195.0,6.54,1
2026-05-01 07:00:00+00:00,210.07,211.0,210.07,211.0,5.89,2
2026-05-01 08:00:00+00:00,194.03,210.0,193.24,193.24,21.45,6
2026-05-01 09:00:00+00:00,210.99,218.74,207.0,218.74,31.3,14
2026-05-01 10:00:00+00:00,218.74,273.43,218.74,273.12,864.14,425
2026-05-01 11:00:00+00:00,273.43,314.14,251.18,251.93,1600.61,697
2026-05-01 12:00:00+00:00,251.83,262.6,235.23,248.0,1525.23,531
2026-05-01 13:00:00+00:00,248.0,255.59,226.97,246.6,2286.48,862
2026-05-01 14:00:00+00:00,247.27,268.0,247.27,259.3,1468.79,719
2026-05-01 15:00:00+00:00,259.3,276.78,254.22,275.0,1672.25,1047
2026-05-01 16:00:00+00:00,274.5,278.3,243.0,256.0,997.27,1017
2026-05-01 17:00:00+00:00,256.0,258.9,236.97,244.99,680.29,375
2026-05-01 18:00:00+00:00,245.44,260.2,245.32,256.0,555.89,974
2026-05-01 19:00:00+00:00,256.0,256.0,240.26,241.92,454.33,619
2026-05-01 20:00:00+00:00,240.57,266.33,240.0,252.21,1050.83,1032
2026-05-01 21:00:00+00:00,254.71,258.59,250.71,252.32,206.16,227
2026-05-01 22:00:00+00:00,252.22,260.6,248.1,257.0,622.97,831
2026-05-01 23:00:00+00:00,257.9,262.98,255.0,259.54,246.29,141
2026-05-02 00:00:00+00:00,256.54,271.0,252.84,258.01,474.12,544
2026-05-02 01:00:00+00:00,258.01,271.8,253.88,262.2,422.32,288
2026-05-02 02:00:00+00:00,265.42,274.0,261.63,267.63,536.37,463
2026-05-02 03:00:00+00:00,264.63,273.0,254.8,261.45,345.33,205
2026-05-02 04:00:00+00:00,261.55,270.65,252.59,259.94,234.72,242
2026-05-02 05:00:00+00:00,261.44,273.3,260.0,271.2,477.12,425
2026-05-02 06:00:00+00:00,270.1,285.71,266.0,285.71,1205.38,662
2026-05-02 07:00:00+00:00,285.6,287.0,278.4,286.08,226.63,347
2026-05-02 08:00:00+00:00,286.07,299.0,272.86,277.88,1279.64,909
2026-05-02 09:00:00+00:00,277.92,279.99,273.3,277.18,138.89,209
2026-05-02 10:00:00+00:00,277.18,298.4,271.6,282.96,332.42,566
2026-05-02 11:00:00+00:00,281.8,286.38,279.4,286.37,92.56,198
2026-05-02 12:00:00+00:00,286.37,286.37,276.4,284.7,130.55,644
2026-05-02 13:00:00+00:00,284.4,292.0,281.12,287.0,93.79,260
2026-05-02 14:00:00+00:00,287.1,290.4,277.1,282.8,270.66,508
2026-05-02 15:00:00+00:00,278.2,296.21,272.66,295.6,612.65,1118
2026-05-02 16:00:00+00:00,295.6,300.0,292.04,299.5,218.91,452
2026-05-02 17:00:00+00:00,295.6,306.6,282.31,302.09,757.01,768
2026-05-02 18:00:00+00:00,306.26,307.28,286.0,289.81,249.02,329
2026-05-02 19:00:00+00:00,289.82,299.0,289.5,290.21,95.52,274
2026-05-02 20:00:00+00:00,295.6,308.25,290.21,304.6,113.73,271
2026-05-02 21:00:00+00:00,304.72,311.0,298.04,306.2,631.89,328
2026-05-02 22:00:00+00:00,307.1,310.8,287.04,291.58,601.48,507
2026-05-02 23:00:00+00:00,291.58,317.4,288.8,313.99,1099.9,479
2026-05-03 00:00:00+00:00,312.0,318.89,304.48,304.94,750.35,325
2026-05-03 01:00:00+00:00,304.94,310.0,303.0,303.0,148.41,227
2026-05-03 02:00:00+00:00,303.0,318.89,303.0,311.43,173.21,454
2026-05-03 03:00:00+00:00,311.43,320.0,292.31,316.36,685.22,872
2026-05-03 04:00:00+00:00,316.36,316.63,285.48,304.79,736.58,1905
2026-05-03 05:00:00+00:00,304.79,316.15,297.0,316.14,266.9,586
2026-05-03 06:00:00+00:00,315.69,317.0,276.0,280.19,1218.25,908
2026-05-03 07:00:00+00:00,280.19,290.0,276.0,288.47,1154.01,550
2026-05-03 08:00:00+00:00,288.46,288.46,275.0,281.9,314.78,375
2026-05-03 09:00:00+00:00,281.9,287.0,280.42,285.23,112.58,237
2026-05-03 10:00:00+00:00,285.16,291.97,285.16,291.97,86.24,175
2026-05-03 11:00:00+00:00,289.92,295.0,286.57,290.13,205.03,213
